zone,motion,vibration,timestamp
Border,7.24,4.42,2026-02-25 11:08:47.309169
ControlRoom,4.7,2.16,2026-02-25 11:08:49.321099
ControlRoom,3.52,6.4,2026-02-25 11:08:51.339257
Border,0.94,6.46,2026-02-25 11:08:53.361237
Border,1.92,3.21,2026-02-25 11:08:55.475116
Warehouse,13.22,12.98,2026-02-25 11:08:57.501755
Border,2.42,11.09,2026-02-25 11:08:59.529260
ControlRoom,2.69,8.32,2026-02-25 11:09:01.556605
Border,0.01,1.63,2026-02-25 11:09:03.659535
ControlRoom,0.79,3.31,2026-02-25 11:09:05.693394
Warehouse,2.68,5.93,2026-02-25 11:09:06.139008
Border,11.63,9.17,2026-02-25 11:09:08.180265
Border,14.27,11.55,2026-02-25 11:09:10.289565
Warehouse,13.56,5.39,2026-02-25 11:09:12.338441
ControlRoom,14.54,2.87,2026-02-25 11:09:14.448791
Warehouse,3.32,5.3,2026-02-25 11:09:16.510208
ControlRoom,3.96,11.51,2026-02-25 11:09:18.540978
Border,9.31,11.78,2026-02-25 11:09:20.606283
Warehouse,2.54,0.26,2026-02-25 11:09:22.685963
ControlRoom,7.09,6.5,2026-02-25 11:09:24.759774
Border,10.88,1.28,2026-02-25 11:09:26.874123
ControlRoom,11.41,14.87,2026-02-25 11:09:28.961352
Border,8.04,3.95,2026-02-25 11:09:31.008123
Border,7.92,13.74,2026-02-25 11:09:33.106458
Border,13.15,5.98,2026-02-25 11:09:35.220510
Border,5.36,14.41,2026-02-25 11:09:35.649498
Border,1.2,12.88,2026-02-25 11:09:37.690004
Warehouse,8.18,0.3,2026-02-25 11:09:39.739438
Border,4.42,7.26,2026-02-25 11:09:41.803566
ControlRoom,3.21,7.86,2026-02-25 11:09:43.811674
ControlRoom,0.91,4.89,2026-02-25 11:09:45.819056
Border,3.47,10.61,2026-02-25 11:09:47.829991
Warehouse,11.16,14.85,2026-02-25 11:09:49.868869
ControlRoom,14.91,3.11,2026-02-25 11:09:51.888442
ControlRoom,12.25,3.2,2026-02-25 11:09:53.898387
Border,5.07,8.63,2026-02-25 11:09:55.917031
Border,7.3,4.8,2026-02-25 11:09:57.924990
Warehouse,12.73,1.84,2026-02-25 11:09:59.939172
ControlRoom,6.83,6.65,2026-02-25 11:10:01.949373
Border,1.06,14.03,2026-02-25 11:10:03.965119
Warehouse,9.0,10.21,2026-02-25 11:10:05.977560
Border,12.02,0.78,2026-02-25 11:10:06.142166
Warehouse,3.13,4.79,2026-02-25 11:10:08.157934
Warehouse,1.52,10.74,2026-02-25 11:10:10.169094
ControlRoom,10.47,7.03,2026-02-25 11:10:12.176996
Warehouse,7.27,0.73,2026-02-25 11:10:14.190106
Warehouse,7.24,1.35,2026-02-25 11:10:16.200966
ControlRoom,13.08,4.46,2026-02-25 11:10:18.211207
Border,12.12,0.2,2026-02-25 11:10:20.233937
Warehouse,1.27,12.5,2026-02-25 11:10:22.243324
Border,7.36,14.59,2026-02-25 11:10:24.259019
Border,1.69,12.18,2026-02-25 11:10:26.267088
ControlRoom,4.6,7.45,2026-02-25 11:10:28.281524
Border,6.74,3.62,2026-02-25 11:10:30.292553
Border,7.88,9.85,2026-02-25 11:10:32.299592
Border,13.66,2.13,2026-02-25 11:10:34.311260
Warehouse,8.29,14.43,2026-02-25 11:10:36.319758
ControlRoom,8.48,4.67,2026-02-25 11:10:36.656063
Border,5.2,9.81,2026-02-25 11:10:38.679947
ControlRoom,4.36,12.31,2026-02-25 11:24:45.975856
ControlRoom,0.04,6.72,2026-02-25 11:24:48.039782
Border,8.58,2.27,2026-02-25 11:24:50.144183
ControlRoom,7.94,3.22,2026-02-25 11:24:52.290866
Warehouse,14.3,2.69,2026-02-25 11:24:54.360121
ControlRoom,11.66,8.34,2026-02-25 11:24:56.548916
ControlRoom,1.35,9.2,2026-02-25 11:24:58.712282
Warehouse,13.73,13.57,2026-02-25 11:25:00.824053
Warehouse,12.03,7.25,2026-02-25 11:25:02.980901
ControlRoom,1.76,0.11,2026-02-25 11:25:05.023696
Border,12.9,3.26,2026-02-25 11:25:07.183984
Border,9.28,11.15,2026-02-25 11:25:09.242728
Border,10.34,10.1,2026-02-25 11:25:11.397485
Border,11.53,11.11,2026-02-25 11:25:13.461295
Warehouse,11.7,1.86,2026-02-25 11:25:13.688108
Border,13.54,12.47,2026-02-25 11:25:15.776579
Warehouse,7.19,12.02,2026-02-25 11:25:17.930268
Border,13.2,12.48,2026-02-25 11:25:20.024094
Border,0.77,1.98,2026-02-25 11:25:22.129711
Warehouse,6.82,5.74,2026-02-25 11:25:24.235709
Border,9.84,9.68,2026-02-25 11:25:26.393344
ControlRoom,4.87,11.01,2026-02-25 11:25:28.539299
Warehouse,12.41,12.99,2026-02-25 11:25:30.679980
ControlRoom,12.19,3.14,2026-02-25 11:25:32.812919
ControlRoom,11.23,6.81,2026-02-25 11:25:34.967557
Warehouse,13.54,14.74,2026-02-25 11:25:37.121585
ControlRoom,10.65,9.8,2026-02-25 11:25:39.193579
Border,6.7,4.35,2026-02-25 11:25:41.239371
ControlRoom,2.79,4.11,2026-02-25 11:25:43.284466
ControlRoom,1.07,3.04,2026-02-25 11:25:43.581852
ControlRoom,0.63,10.22,2026-02-25 11:25:45.622959
Border,9.02,8.68,2026-02-25 11:25:47.664392
Warehouse,7.87,9.29,2026-02-25 11:25:49.705402
ControlRoom,0.42,2.2,2026-02-25 11:25:51.835316
ControlRoom,10.23,1.75,2026-02-25 11:25:53.876506
Border,10.69,13.46,2026-02-25 11:25:56.012284
Warehouse,8.5,9.69,2026-02-25 11:25:58.056631
Border,1.86,10.64,2026-02-25 11:26:00.096395
ControlRoom,9.78,0.04,2026-02-25 11:26:02.132535
Warehouse,4.13,7.61,2026-02-25 11:26:04.175208
ControlRoom,3.71,11.01,2026-02-25 11:26:06.263677
Warehouse,0.77,1.53,2026-02-25 11:26:08.302186
Warehouse,7.55,13.47,2026-02-25 11:26:10.344818
Warehouse,5.14,2.93,2026-02-25 11:26:12.386276
ControlRoom,6.88,8.01,2026-02-25 11:26:14.427757
Warehouse,4.41,14.38,2026-02-25 11:26:14.704117
ControlRoom,7.8,9.99,2026-02-25 11:26:16.746318
Warehouse,4.3,10.67,2026-02-25 11:26:18.790869
Warehouse,1.5,13.82,2026-02-25 11:26:20.862455
ControlRoom,7.92,5.96,2026-02-25 11:26:23.014234
ControlRoom,10.28,0.09,2026-02-25 11:26:25.055743
Warehouse,1.05,1.01,2026-02-25 11:26:27.097191
ControlRoom,4.81,13.34,2026-02-25 11:26:29.139221
ControlRoom,7.83,3.77,2026-02-25 11:26:31.296278
Border,5.58,4.51,2026-02-25 11:26:33.440758
ControlRoom,10.72,2.02,2026-02-25 11:26:35.482189
ControlRoom,13.41,1.52,2026-02-25 11:26:37.525748
Border,0.48,0.2,2026-02-25 11:26:39.580002
Border,9.29,13.45,2026-02-25 11:26:41.623541
Border,8.09,11.06,2026-02-25 11:26:43.666294
Warehouse,0.3,13.44,2026-02-25 11:26:45.826358
ControlRoom,12.79,10.79,2026-02-25 11:26:46.067179
Border,4.91,11.87,2026-02-25 11:26:48.226279
ControlRoom,11.01,9.15,2026-02-25 11:26:50.293973
Warehouse,10.92,1.03,2026-02-25 11:26:52.444910
Border,9.65,10.58,2026-02-25 11:26:54.487478
ControlRoom,10.75,8.08,2026-02-25 11:26:56.532677
ControlRoom,1.55,3.7,2026-02-25 11:26:58.614297
Border,12.42,2.17,2026-02-25 11:27:00.654890
Border,14.72,11.61,2026-02-25 11:27:02.697702
ControlRoom,13.96,11.71,2026-02-25 11:27:04.745388
ControlRoom,8.79,11.25,2026-02-25 11:27:06.790818
Warehouse,11.82,11.12,2026-02-25 11:27:08.831043
ControlRoom,9.84,7.76,2026-02-25 11:27:10.878433
ControlRoom,6.39,6.93,2026-02-25 11:27:12.920929
Warehouse,0.57,14.35,2026-02-25 11:27:14.964289
Border,10.9,13.14,2026-02-25 11:27:17.009406
Border,6.21,13.57,2026-02-25 11:27:17.241597
Warehouse,2.79,9.59,2026-02-25 11:27:19.293389
ControlRoom,11.36,5.89,2026-02-25 11:27:21.344373
ControlRoom,10.91,7.37,2026-02-25 11:27:23.398776
Warehouse,6.42,4.88,2026-02-25 11:27:25.458686
Border,12.52,4.87,2026-02-25 11:27:27.512317
Warehouse,3.24,2.04,2026-02-25 11:27:29.560425
Border,13.22,0.05,2026-02-25 11:27:31.630168
ControlRoom,5.09,3.63,2026-02-25 11:27:33.684924
Warehouse,14.82,13.32,2026-02-25 11:27:35.731867
ControlRoom,10.72,8.92,2026-02-25 11:27:37.774262
Border,4.97,9.22,2026-02-25 11:27:39.836802
Border,10.13,6.46,2026-02-25 11:27:41.892380
ControlRoom,11.69,11.76,2026-02-25 11:27:43.935216
ControlRoom,1.58,1.74,2026-02-25 11:27:46.005127
Warehouse,14.57,7.07,2026-02-25 11:27:48.052603
Border,11.24,14.82,2026-02-25 11:27:48.340272
Warehouse,2.11,4.64,2026-02-25 11:27:50.395109
Warehouse,10.58,4.75,2026-02-25 11:27:52.454290
ControlRoom,13.35,0.41,2026-02-25 11:27:54.504378
ControlRoom,1.92,3.37,2026-02-25 11:27:56.561697
ControlRoom,12.9,10.1,2026-02-25 11:27:58.613623
Warehouse,13.07,9.55,2026-02-25 11:28:00.659819
ControlRoom,2.03,6.35,2026-02-25 11:28:02.711035
Border,3.2,13.02,2026-02-25 11:28:04.759682
Border,9.41,8.73,2026-02-25 11:28:06.807868
ControlRoom,3.76,11.55,2026-02-25 11:28:08.855889
ControlRoom,11.97,1.0,2026-02-25 11:28:10.940320
Warehouse,2.32,8.09,2026-02-25 11:28:13.004453
Warehouse,7.92,10.77,2026-02-25 11:28:15.098741
Border,7.43,2.81,2026-02-25 11:28:17.177085
Warehouse,2.82,1.79,2026-02-25 11:28:17.365166
Border,11.58,5.64,2026-02-25 11:28:19.418584
Warehouse,6.96,9.42,2026-02-25 11:28:21.468961
Warehouse,11.93,10.21,2026-02-25 11:28:23.522017
ControlRoom,9.13,11.27,2026-02-25 11:28:25.567383
Warehouse,4.91,8.3,2026-02-25 11:28:27.617692
ControlRoom,3.9,13.06,2026-02-25 11:28:29.667559
ControlRoom,8.33,10.92,2026-02-25 11:28:31.709728
Border,0.38,4.11,2026-02-25 11:28:33.764921
Border,2.03,13.64,2026-02-25 11:28:35.812913
Border,14.45,4.99,2026-02-25 11:28:37.858965
ControlRoom,9.93,14.21,2026-02-25 11:28:39.920012
ControlRoom,1.92,6.64,2026-02-25 11:28:41.972985
ControlRoom,1.86,14.23,2026-02-25 11:28:44.019198
Warehouse,8.67,13.4,2026-02-25 11:28:46.082694
Warehouse,4.8,5.08,2026-02-25 11:28:48.242070
ControlRoom,6.83,11.17,2026-02-25 11:28:48.550977
Border,4.19,7.7,2026-02-25 11:28:50.606347
Warehouse,1.8,2.61,2026-02-25 11:28:52.765252
Border,13.35,14.42,2026-02-25 11:28:54.817979
ControlRoom,13.38,9.25,2026-02-25 11:28:56.975427
Warehouse,8.56,10.08,2026-02-25 11:28:59.041857
ControlRoom,9.45,7.48,2026-02-25 11:29:01.094727
Warehouse,13.39,14.91,2026-02-25 11:29:03.172070
ControlRoom,14.92,1.78,2026-02-25 11:42:50.720664
Border,8.73,7.58,2026-02-25 11:42:52.853842
Border,6.7,2.74,2026-02-25 11:42:54.897333
Border,1.96,2.28,2026-02-25 11:42:56.951967
ControlRoom,4.4,7.15,2026-02-25 11:42:59.043902
ControlRoom,4.46,11.93,2026-02-25 11:43:01.115258
Border,4.88,8.78,2026-02-25 11:43:03.192127
ControlRoom,0.49,3.54,2026-02-25 11:43:05.230706
Warehouse,14.37,3.96,2026-02-25 11:43:07.296947
Warehouse,13.61,14.22,2026-02-25 11:43:07.507320
ControlRoom,4.83,7.91,2026-02-25 11:43:09.578511
Border,7.32,9.38,2026-02-25 11:43:11.625362
ControlRoom,8.53,1.0,2026-02-25 11:43:13.724446
ControlRoom,14.12,11.43,2026-02-25 11:43:15.867970
ControlRoom,6.84,8.06,2026-02-25 11:43:17.942021
Warehouse,4.08,9.11,2026-02-25 11:43:19.986655
Border,6.31,1.27,2026-02-25 11:43:22.179163
Border,8.2,11.58,2026-02-25 11:43:24.223422
Border,14.27,12.04,2026-02-25 11:43:26.263151
ControlRoom,10.25,6.06,2026-02-25 11:43:28.303566
Border,3.41,7.05,2026-02-25 11:43:30.465658
Warehouse,5.95,7.85,2026-02-25 11:43:32.527703
Border,6.03,1.91,2026-02-25 11:43:34.684686
Border,6.84,5.08,2026-02-25 11:43:36.766066
Border,5.83,7.66,2026-02-25 11:43:37.009802
Border,6.39,8.71,2026-02-25 11:43:39.114975
Warehouse,4.14,1.98,2026-02-25 11:43:41.169330
Warehouse,2.01,2.21,2026-02-25 11:43:43.284042
Border,1.89,9.76,2026-02-25 11:43:45.443844
Border,3.87,13.1,2026-02-25 11:43:47.576042
Border,0.41,9.43,2026-02-25 11:43:49.705435
Warehouse,5.74,4.33,2026-02-25 11:43:51.864955
Border,3.64,9.81,2026-02-25 11:43:53.965950
Border,2.27,10.13,2026-02-25 11:43:56.134159
ControlRoom,6.02,12.39,2026-02-25 11:43:58.178120
ControlRoom,3.41,10.77,2026-02-25 11:44:00.325239
Warehouse,9.06,8.9,2026-02-25 11:44:02.379880
Border,0.68,14.54,2026-02-25 11:44:04.428871
Warehouse,12.13,14.07,2026-02-25 11:44:06.476452
Warehouse,5.02,2.52,2026-02-25 11:44:08.516559
ControlRoom,12.28,9.62,2026-02-25 11:44:08.723954
Warehouse,5.28,7.89,2026-02-25 11:44:10.809109
Border,6.14,5.01,2026-02-25 11:44:12.896511
Border,14.87,8.55,2026-02-25 11:44:14.969890
Warehouse,5.99,0.27,2026-02-25 11:44:17.040939
ControlRoom,5.72,8.56,2026-02-25 11:44:19.119151
Warehouse,13.98,6.47,2026-02-25 11:44:21.194168
Warehouse,2.78,10.98,2026-02-25 11:44:23.268123
Warehouse,12.74,2.4,2026-02-25 11:44:25.345017
Border,4.47,6.22,2026-02-25 11:44:27.391792
ControlRoom,2.08,6.53,2026-02-25 11:44:29.446065
ControlRoom,1.61,10.79,2026-02-25 11:44:31.492582
Warehouse,6.07,0.74,2026-02-25 11:44:33.534335
ControlRoom,2.13,13.65,2026-02-25 11:44:35.613831
ControlRoom,5.7,14.43,2026-02-25 11:44:37.751405
Border,7.78,5.37,2026-02-25 11:44:37.988837
Border,13.21,5.03,2026-02-25 11:44:40.032382
Warehouse,2.98,4.23,2026-02-25 11:44:42.081535
Warehouse,5.19,5.05,2026-02-25 11:44:44.126135
ControlRoom,9.92,11.36,2026-02-25 11:44:46.173556
ControlRoom,2.75,2.63,2026-02-25 11:44:48.220783
Border,12.1,7.51,2026-02-25 11:44:50.279552
Warehouse,11.49,2.44,2026-02-25 11:44:52.322877
Border,11.28,8.78,2026-02-25 11:44:54.362294
ControlRoom,6.01,1.71,2026-02-25 11:44:56.404484
ControlRoom,0.15,4.12,2026-02-25 11:44:58.449081
ControlRoom,14.64,10.42,2026-02-25 11:45:00.489713
ControlRoom,8.62,11.66,2026-02-25 11:45:02.532855
ControlRoom,6.75,14.46,2026-02-25 11:45:04.573088
Border,11.05,0.14,2026-02-25 11:45:06.626704
ControlRoom,14.85,10.18,2026-02-25 11:45:08.670495
Border,1.26,1.04,2026-02-25 11:45:08.808554
ControlRoom,12.52,5.87,2026-02-25 11:45:10.863603
ControlRoom,13.89,9.8,2026-02-25 11:45:12.911610
Warehouse,12.15,3.73,2026-02-25 11:45:14.960944
Border,1.51,0.35,2026-02-25 11:45:17.013111
Warehouse,0.64,11.5,2026-02-25 11:45:19.065843
Border,8.36,7.82,2026-02-25 11:45:21.108210
Warehouse,8.22,6.94,2026-02-25 11:45:23.163622
ControlRoom,0.68,5.51,2026-02-25 11:45:25.216736
Border,11.43,12.65,2026-02-25 11:45:27.259738
ControlRoom,14.23,8.48,2026-02-25 11:45:29.304528
Warehouse,11.21,3.69,2026-02-25 11:45:31.347949
Border,1.77,10.05,2026-02-25 11:45:33.392647
Border,12.01,14.56,2026-02-25 11:45:35.497241
ControlRoom,10.16,0.9,2026-02-25 11:45:37.540508
Warehouse,5.69,8.9,2026-02-25 11:45:39.596673
ControlRoom,1.09,14.17,2026-02-25 11:45:39.791588
Warehouse,4.94,3.68,2026-02-25 11:45:41.944339
Border,7.64,2.54,2026-02-25 11:58:36.422595
ControlRoom,3.99,10.01,2026-02-25 11:58:38.458981
Warehouse,11.06,10.23,2026-02-25 11:58:40.481493
ControlRoom,8.27,8.09,2026-02-25 11:58:42.501954
Border,7.73,13.58,2026-02-25 11:58:44.523923
Warehouse,9.98,4.67,2026-02-25 11:58:46.523718
Warehouse,13.89,6.68,2026-02-25 11:58:48.542898
Border,11.11,3.66,2026-02-25 11:58:50.561261
Warehouse,2.14,7.01,2026-02-25 11:58:52.578142
ControlRoom,11.87,12.34,2026-02-25 11:58:54.596256
Warehouse,7.95,3.86,2026-02-25 11:58:56.612625
Border,11.62,3.66,2026-02-25 11:58:58.631567
Border,13.67,14.7,2026-02-25 11:59:00.648785
Border,12.07,3.89,2026-02-25 11:59:02.669920
Warehouse,10.91,0.53,2026-02-25 11:59:04.719031
Warehouse,14.11,11.07,2026-02-25 11:59:06.750831
ControlRoom,5.0,7.43,2026-02-25 11:59:08.785783
Warehouse,7.45,7.26,2026-02-25 11:59:10.835937
Warehouse,7.55,2.5,2026-02-25 11:59:13.025389
Warehouse,10.85,10.22,2026-02-25 11:59:15.098464
ControlRoom,13.25,4.32,2026-02-25 11:59:17.251076
Warehouse,12.75,12.4,2026-02-25 11:59:19.336832
Warehouse,10.83,11.25,2026-02-25 11:59:21.491352
ControlRoom,10.17,13.43,2026-02-25 11:59:23.578349
ControlRoom,0.01,14.61,2026-02-25 11:59:25.681956
ControlRoom,1.32,5.44,2026-02-25 11:59:26.133075
Border,0.39,3.9,2026-02-25 11:59:28.218887
Warehouse,3.72,0.37,2026-02-25 11:59:30.246297
Warehouse,14.34,0.11,2026-02-25 11:59:32.279835
Border,1.63,2.71,2026-02-25 11:59:34.395676
Warehouse,2.45,7.08,2026-02-25 11:59:36.546368
Warehouse,5.89,7.81,2026-02-25 11:59:38.718982
ControlRoom,11.61,13.87,2026-02-25 11:59:40.903698
ControlRoom,14.2,7.46,2026-02-25 11:59:43.086916
Warehouse,0.68,14.38,2026-02-25 11:59:45.118906
Border,14.7,1.66,2026-02-25 11:59:47.220570
Warehouse,0.67,3.89,2026-02-25 11:59:49.264133
Warehouse,8.72,11.67,2026-02-25 11:59:51.395130
Warehouse,10.36,12.13,2026-02-25 11:59:53.474907
ControlRoom,8.01,10.61,2026-02-25 11:59:55.529955
Border,9.28,8.02,2026-02-25 11:59:55.806261
Border,13.61,6.85,2026-02-25 11:59:57.840513
Warehouse,4.4,2.28,2026-02-25 11:59:59.871402
ControlRoom,13.55,10.02,2026-02-25 12:00:01.915059
Border,12.89,11.12,2026-02-25 12:00:03.998969
Border,12.02,4.04,2026-02-25 12:00:06.107137
ControlRoom,14.55,10.95,2026-02-25 12:00:08.201171
ControlRoom,10.23,0.16,2026-02-25 12:00:10.358875
Border,4.34,14.26,2026-02-25 12:00:12.496199
Border,13.33,2.75,2026-02-25 12:00:14.685181
Warehouse,11.88,13.44,2026-02-25 12:00:16.843752
ControlRoom,8.27,2.25,2026-02-25 12:00:18.969092
Border,10.76,7.33,2026-02-25 12:00:21.075279
Border,11.78,9.5,2026-02-25 12:00:23.098991
ControlRoom,13.42,2.63,2026-02-25 12:00:25.199205
Border,13.54,3.25,2026-02-25 12:00:27.235109
Warehouse,3.83,5.85,2026-02-25 12:00:27.756030
ControlRoom,5.88,13.14,2026-02-25 12:00:29.782391
Warehouse,12.99,6.98,2026-02-25 12:00:31.831702
ControlRoom,11.49,2.78,2026-02-25 12:00:33.867197
ControlRoom,12.96,2.06,2026-02-25 12:00:35.983835
Border,12.71,1.46,2026-02-25 12:00:38.050474
Border,8.68,4.41,2026-02-25 12:00:40.234436
ControlRoom,11.55,6.88,2026-02-25 12:00:42.313024
Border,14.44,13.02,2026-02-25 12:00:44.420118
Warehouse,10.41,1.56,2026-02-25 12:00:46.520516
ControlRoom,8.41,8.7,2026-02-25 12:00:48.646098
Warehouse,1.28,9.8,2026-02-25 12:00:50.716902
Border,4.38,9.68,2026-02-25 12:00:52.802128
ControlRoom,5.6,2.56,2026-02-25 12:00:54.895150
Border,11.79,5.74,2026-02-25 12:00:57.023853
ControlRoom,3.18,5.51,2026-02-25 12:00:57.342714
Border,13.32,5.52,2026-02-25 12:00:59.406173
Warehouse,2.58,10.83,2026-02-25 12:01:01.513741
Border,11.9,5.56,2026-02-25 12:01:03.637296
ControlRoom,10.67,14.5,2026-02-25 12:01:05.757294
Warehouse,4.04,6.95,2026-02-25 12:01:07.811387
Warehouse,6.89,8.81,2026-02-25 12:01:09.848656
ControlRoom,14.74,10.22,2026-02-25 12:01:11.874762
ControlRoom,4.89,2.35,2026-02-25 12:01:13.899366
Border,14.08,0.34,2026-02-25 12:01:15.919600
Warehouse,9.42,13.16,2026-02-25 12:01:17.950074
Warehouse,4.58,12.5,2026-02-25 12:01:19.974035
ControlRoom,4.14,6.53,2026-02-25 12:01:22.011768
Border,7.75,1.39,2026-02-25 12:01:24.035839
ControlRoom,5.39,10.31,2026-02-25 12:01:26.068375
Warehouse,10.73,3.67,2026-02-25 12:01:28.093638
Border,6.69,7.02,2026-02-25 12:01:28.343737
ControlRoom,6.81,13.44,2026-02-25 12:01:30.370564
Border,12.01,11.19,2026-02-25 12:01:32.389625
Warehouse,13.72,12.04,2026-02-25 12:01:34.420291
ControlRoom,0.18,11.72,2026-02-25 12:01:36.532606
ControlRoom,1.18,7.16,2026-02-25 12:01:38.581283
Warehouse,3.15,10.56,2026-02-25 12:01:40.605916
ControlRoom,14.78,9.32,2026-02-25 12:01:42.647169
ControlRoom,5.72,7.63,2026-02-25 12:01:44.683832
Warehouse,13.21,13.35,2026-02-25 12:01:46.715026
Border,11.19,0.88,2026-02-25 12:01:48.739128
ControlRoom,1.57,13.43,2026-02-25 12:01:50.760596
Warehouse,13.54,12.69,2026-02-25 12:01:52.791822
Border,2.92,8.6,2026-02-25 12:01:54.818687
Border,12.41,12.57,2026-02-25 12:01:56.905131
ControlRoom,5.05,10.33,2026-02-25 12:01:58.971311
Border,7.53,12.03,2026-02-25 12:01:59.249944
Border,3.83,9.18,2026-02-25 12:02:01.303059
Warehouse,4.55,7.67,2026-02-25 12:02:03.333510
Border,12.97,5.32,2026-02-25 12:02:05.394224
Warehouse,13.18,14.39,2026-02-25 12:02:07.534979
ControlRoom,14.87,2.21,2026-02-25 12:02:09.671660
Warehouse,3.45,9.29,2026-02-25 12:02:11.860744
Border,4.22,10.93,2026-02-25 12:02:14.034205
ControlRoom,2.25,7.71,2026-02-25 12:02:16.225440
ControlRoom,3.27,7.52,2026-02-25 12:02:18.245852
ControlRoom,11.36,1.51,2026-02-25 12:02:20.264902
ControlRoom,13.5,8.53,2026-02-25 12:02:22.283585
Warehouse,10.62,1.1,2026-02-25 12:02:24.315623
Border,1.69,3.9,2026-02-25 12:02:26.335551
Warehouse,9.52,11.76,2026-02-25 12:02:28.371896
Warehouse,5.04,13.02,2026-02-25 12:02:28.714533
ControlRoom,3.55,10.28,2026-02-25 12:02:30.739511
Warehouse,9.38,13.19,2026-02-25 12:02:32.763348
ControlRoom,3.85,12.22,2026-02-25 12:02:34.784754
Border,3.96,13.49,2026-02-25 12:02:36.803837
ControlRoom,13.55,12.17,2026-02-25 12:02:38.841633
